CA,s,t,p,a
189203868.3327397,1,16,2,0
0.0,1,16,2,1
0.0,1,16,2,2
0.0,2,16,0,0
22033531.030136988,2,16,0,1
0.0,2,16,0,2
0.0,2,16,1,0
107326767.24,2,16,1,1
0.0,2,16,1,2
164766751.45808217,2,16,2,0
24677762.412602752,2,16,2,1
0.0,2,16,2,2
0.0,0,17,0,0
119498192.28493151,0,17,0,1
0.0,0,17,0,2
0.0,0,17,1,0
53908454.15999999,0,17,1,1
0.0,0,17,1,2
210796131.6672603,0,17,2,0
68128447.31123285,0,17,2,1
400000000.0,0,17,2,2
0.0,1,17,0,0
119498192.28493151,1,17,0,1
0.0,1,17,0,2
0.0,1,17,1,0
53908454.15999999,1,17,1,1
0.0,1,17,1,2
210796131.6672603,1,17,2,0
68128447.31123285,1,17,2,1
400000000.0,1,17,2,2
0.0,2,17,0,0
24607698.756164387,2,17,0,1
0.0,2,17,0,2
0.0,2,17,1,0
116616908.31999998,2,17,1,1
0.0,2,17,1,2
235233248.54191783,2,17,2,0
104737332.24109589,2,17,2,1
400000000.0,2,17,2,2
0.0,0,18,0,0
130618595.49589041,0,18,0,1
0.0,0,18,0,2
31078819.692054745,0,18,1,0
27846310.74794525,0,18,1,1
0.0,0,18,1,2
158125048.64068496,0,18,2,0
0.0,0,18,2,1
0.0,0,18,2,2
0.0,1,18,0,0
130618595.49589041,1,18,0,1
0.0,1,18,0,2
31078819.692054745,1,18,1,0
27846310.74794525,1,18,1,1
0.0,1,18,1,2
158125048.64068496,1,18,2,0
0.0,1,18,2,1
0.0,1,18,2,2
0.0,2,18,0,0
27387799.802739732,2,18,0,1
0.0,2,18,0,2
0.0,2,18,1,0
126650260.88,2,18,1,1
0.0,2,18,1,2
164766751.45808217,2,18,2,0
0.0,2,18,2,1
0.0,2,18,2,2
0.0,0,19,0,0
142628631.00273973,0,19,0,1
0.0,0,19,0,2
0.0,0,19,1,0
64343140.839999996,0,19,1,1
0.0,0,19,1,2
210796131.6672603,0,19,2,0
34563321.91342464,0,19,2,1
400000000.0,0,19,2,2
0.0,1,19,0,0
142628631.00273973,1,19,0,1
0.0,1,19,0,2
0.0,1,19,1,0
64343140.839999996,1,19,1,1
0.0,1,19,1,2
210796131.6672603,1,19,2,0
34563321.91342464,1,19,2,1
400000000.0,1,19,2,2
0.0,2,19,0,0
30390308.679452058,2,19,0,1
0.0,2,19,0,2
0.0,2,19,1,0
137486281.67999998,2,19,1,1
0.0,2,19,1,2
235233248.54191783,2,19,2,0
78085348.9578082,2,19,2,1
400000000.0,2,19,2,2
0.0,0,20,0,0
155599469.5452055,0,20,0,1
0.0,0,20,0,2
67329155.46136987,0,20,1,0
2865436.6986301243,0,20,1,1
0.0,0,20,1,2
